"Player"|"Pos"|"Age"|"Tm"|"G"|"MP"|"PER"|"TS_perc"|"X3PAr"|"FTr"|"ORB_perc"|"DRB_perc"|"TRB_perc"|"AST_perc"|"STL_perc"|"BLK_perc"|"TOV_perc"|"USG_perc"|"OWS"|"DWS"|"WS"|"WS_48"|"OBPM"|"DBPM"|"BPM"|"VORP"
"Solomon Hill"|"SF"|23|"IND"|82|2381|10.2|0.507|0.328|0.304|3.3|11.2|7.3|11.9|1.4|0.6|13.8|15.9|0.9|2.6|3.5|0.072|-1.1|0.8|-0.3|1
"Kirk Hinrich"|"SG"|34|"CHI"|66|1610|6.8|0.468|0.441|0.131|1.4|6.6|4.1|13.8|1.5|0.6|15.3|13.3|-0.3|1.3|1|0.03|-2.3|-0.6|-2.8|-0.3
"Jrue Holiday"|"PG"|24|"NOP"|40|1303|18.8|0.522|0.253|0.142|2.8|9|5.9|34.9|2.5|1.3|13.8|23.1|2.3|1.1|3.4|0.124|3|-0.7|2.3|1.4
"Justin Holiday"|"SG"|25|"GSW"|59|657|12.1|0.498|0.464|0.191|2|9.7|6|10.1|3|1.4|10.2|18.8|0.2|1|1.3|0.092|-1.4|0.5|-1|0.2
"Ryan Hollins"|"C"|30|"SAC"|46|441|13.1|0.648|0|0.659|9.6|16.6|13.2|5|0.7|3.4|19.1|13.1|0.7|0.3|1|0.104|-1.4|0|-1.4|0.1
"Rodney Hood"|"SG"|22|"UTA"|50|1064|12.3|0.529|0.455|0.214|1|11.7|6.4|13.2|1.5|0.9|9.9|19.6|1.3|0.9|2.2|0.098|0.2|-1.3|-1.1|0.2
"Al Horford"|"C"|28|"ATL"|76|2318|21.4|0.563|0.037|0.146|6.7|19.8|13.4|18.6|1.5|3.5|8.9|22.2|5.1|3.6|8.7|0.179|1.3|2.5|3.8|3.4
"Dwight Howard"|"C"|29|"HOU"|41|1223|19.2|0.596|0.005|0.641|10|28.9|19.5|7.3|1.1|3.4|17.5|23.3|1.4|2.2|3.6|0.14|-2.4|1.2|-1.2|0.3
"Lester Hudson"|"SG"|30|"LAC"|5|56|16|0.571|0.429|0.286|2.1|13.8|8|12.6|5.4|1.5|16|15.1|0.1|0.1|0.2|0.141|0|3.3|3.3|0.1
"Robbie Hummel"|"SF"|25|"MIN"|45|742|9.7|0.536|0.297|0.169|4.6|16.4|10.3|5.6|1.1|1|8.9|12.1|0.7|0.1|0.8|0.05|-1.8|-1.6|-3.5|-0.3
"Kris Humphries"|"PF"|29|"WAS"|64|1345|15.4|0.512|0.016|0.262|10.1|24.4|17.4|6.7|1.3|1.5|8.5|18.3|1.6|2.1|3.8|0.134|-2|0.7|-1.3|0.2
"Serge Ibaka"|"PF"|25|"OKC"|64|2116|16.6|0.549|0.261|0.14|7|18.1|12.6|4.2|0.7|5.8|10.4|18.9|2.9|2.7|5.6|0.127|-0.5|1.3|0.8|1.5
"Andre Iguodala"|"SG"|31|"GSW"|77|2069|12.3|0.553|0.427|0.23|2.4|10.8|6.7|14.6|2.1|0.9|13.9|13.3|2.3|2.8|5.1|0.117|0.1|1.5|1.6|1.9
"Ersan Ilyasova"|"PF"|27|"MIL"|58|1319|16.8|0.554|0.341|0.192|7|17|12|7.4|1.4|1.2|6.9|22.1|2.3|1.7|4|0.146|1.2|-1.4|-0.2|0.6
"Joe Ingles"|"SF"|27|"UTA"|79|1673|9.6|0.533|0.571|0.113|1.5|10.5|6|16.8|2.3|0.5|20.9|12.9|0.5|1.6|2.2|0.062|-1.1|0.3|-0.8|0.5
"Kyrie Irving"|"PG"|22|"CLE"|75|2730|21.5|0.583|0.306|0.296|2.3|7.5|5|25|2.2|0.6|11.8|26.2|8.4|2|10.4|0.183|4.7|-1.4|3.3|3.7
"Jarrett Jack"|"PG"|31|"BRK"|80|2241|14.6|0.522|0.179|0.278|1|11.3|6.1|27.3|1.7|0.5|17.2|22.6|1.1|1.4|2.6|0.055|-0.5|-1|-1.5|0.3
"Bernard James"|"C"|29|"DAL"|16|158|16|0.593|0|0.852|12.5|14.6|13.5|3.4|0.6|7.7|13.9|12.2|0.4|0.2|0.5|0.165|-1.3|2.9|1.6|0.1
"LeBron James"|"SF"|30|"CLE"|69|2493|25.9|0.577|0.265|0.413|2.4|16.6|9.6|38.6|2.3|1.6|15.3|32.3|7.4|2.9|10.4|0.199|6.2|1.2|7.4|5.9
"Al Jefferson"|"C"|30|"CHO"|65|1992|19.7|0.5|0.005|0.163|5.3|25.5|15.1|11.6|1.2|3.3|5.9|26.3|1.3|3.4|4.7|0.113|-1.3|1.6|0.2|1.1
"Cory Jefferson"|"PF"|24|"BRK"|50|531|13.2|0.48|0.09|0.323|10|20.6|15.3|4.8|1|3.2|9.5|18.1|0.2|0.6|0.8|0.071|-3.3|-0.4|-3.7|-0.2
"Richard Jefferson"|"SF"|34|"DAL"|74|1244|11.3|0.577|0.478|0.352|2.2|14|8.1|7|1.3|0.7|12.2|15.3|1.4|0.9|2.3|0.088|-0.2|-0.5|-0.7|0.4
"John Jenkins"|"SG"|23|"ATL"|24|297|15.9|0.629|0.525|0.192|0.8|13.8|7.5|7|1.7|0|6.9|17.8|0.6|0.3|0.9|0.147|1.1|-2.1|-0.9|0.1
"Brandon Jennings"|"PG"|25|"DET"|41|1173|19.7|0.522|0.389|0.263|1.9|8|4.8|39.9|1.9|0.3|12.9|26.3|2.6|0.7|3.3|0.136|4.3|-2.5|1.8|1.1
"Amir Johnson"|"PF"|27|"TOR"|75|1979|15.4|0.603|0.089|0.249|9.3|17.3|13.3|9.4|1.1|2.4|16|15.7|3.5|1.6|5.1|0.124|0.8|1|1.8|1.9
"James Johnson"|"PF"|27|"TOR"|70|1370|17.9|0.617|0.126|0.252|5.1|16.5|10.8|11.4|2|4.1|15|17.4|2.5|1.6|4.1|0.143|0.6|2|2.7|1.6
"Joe Johnson"|"SG"|33|"BRK"|80|2791|14.1|0.523|0.329|0.172|2.1|13.3|7.7|17.1|1.1|0.4|11.1|20.3|2.6|1.5|4.1|0.07|0.9|-0.7|0.2|1.5
"Nick Johnson"|"SG"|22|"HOU"|28|262|4.8|0.43|0.28|0.333|5.5|10.9|8.2|6.3|1.3|0.9|18.1|17.4|-0.4|0.2|-0.1|-0.02|-6.1|-1.2|-7.3|-0.3
"Tyler Johnson"|"SG"|22|"MIA"|32|603|12|0.506|0.287|0.281|2.9|13.1|8.1|11.3|2.9|1.3|13.8|17|0.1|0.7|0.8|0.06|-1.8|0.7|-1.1|0.1
"Wesley Johnson"|"SF"|27|"LAL"|76|2245|11.1|0.509|0.375|0.162|3.2|12.9|7.8|8.6|1.3|1.6|10.5|16.4|1|0.7|1.7|0.037|-0.9|-0.6|-1.5|0.3
"Dahntay Jones"|"SF"|34|"LAC"|33|123|1.9|0.406|0.19|0.524|0.9|9|5|2.1|1.2|0|3.7|9.8|0|0.1|0|0.013|-5.2|-1.3|-6.4|-0.1
"James Jones"|"SF"|34|"CLE"|57|669|11.1|0.565|0.871|0.229|1.6|9|5.3|5.4|1|0.9|5.5|15.8|1.2|0.4|1.5|0.11|1.4|-2.8|-1.4|0.1
"Perry Jones"|"SF"|23|"OKC"|43|631|6.9|0.459|0.326|0.201|1|11.7|6.5|4.2|1.4|1|10.7|15.3|-0.3|0.5|0.2|0.015|-4.2|-1.2|-5.4|-0.5
"Terrence Jones"|"PF"|23|"HOU"|33|889|18.3|0.567|0.124|0.314|9.7|17.6|13.7|6.9|1|5.2|9.8|18.4|1.7|1.3|3|0.16|-0.6|1.9|1.3|0.7
"DeAndre Jordan"|"C"|26|"LAC"|82|2820|21|0.638|0.007|0.882|16.2|32.4|24.5|3.2|1.5|5.4|12.8|13.6|7.4|5.4|12.8|0.217|0.9|3.2|4.1|4.3
"Jerome Jordan"|"C"|28|"BRK"|44|383|16.8|0.609|0|0.468|15.3|15.5|15.4|5.3|1.1|3.1|16.3|16.1|0.9|0.3|1.2|0.156|-0.2|0|-0.2|0.2
"Cory Joseph"|"PG"|23|"SAS"|79|1444|15.5|0.564|0.107|0.348|3.5|11.4|7.5|19.7|1.6|0.9|12.4|17|2.7|1.8|4.5|0.149|0.2|0.5|0.7|1
"Chris Kaman"|"C"|32|"POR"|74|1398|17.3|0.537|0|0.186|11.6|25.2|18.5|7.8|0.7|2.8|15.4|22.5|1.1|2.2|3.3|0.112|-2.5|1.1|-1.4|0.2
"Sergey Karasev"|"SG"|21|"BRK"|33|555|10.5|0.508|0.403|0.284|4.5|8.9|6.7|12.3|2.1|0.1|13.7|14.4|0.3|0.4|0.7|0.061|-0.7|-0.5|-1.2|0.1
"Ryan Kelly"|"PF"|23|"LAL"|52|1233|8.6|0.473|0.434|0.307|1.1|12.4|6.5|10.9|1.2|1.6|9.5|14|0.4|0.3|0.7|0.027|-2.1|-0.8|-2.8|-0.3
"Michael Kidd-Gilchrist"|"SF"|21|"CHO"|55|1587|15.1|0.519|0|0.444|7.4|21.9|14.4|8.2|1|1.9|9.9|18.4|1.6|2.2|3.8|0.114|-2.2|1.3|-0.8|0.5
"Sean Kilpatrick"|"SG"|25|"MIN"|4|72|10|0.506|0.65|0.2|1.5|8.2|4.8|8.5|2.1|0|8.4|14.6|0.1|0|0.1|0.033|-0.7|-3|-3.8|0
"Andrei Kirilenko"|"SF"|33|"BRK"|7|36|2.8|0.222|0|0.8|6.2|18.6|12.5|3.6|1.4|0|12.9|9.8|-0.1|0|0|-0.058|-8.1|-0.2|-8.3|-0.1
"Alex Kirk"|"C"|23|"CLE"|5|14|8.5|0.41|0|0.5|8.3|0|4.1|10.1|0|0|0|15.7|0|0|0|0.061|-3|-4.3|-7.4|0
"Kyle Korver"|"SG"|33|"ATL"|75|2418|14.8|0.699|0.748|0.197|0.7|13.3|7.2|12.1|1.1|1.5|14.1|14.4|5|2.4|7.5|0.148|3.1|0.2|3.3|3.3
"Kosta Koufos"|"C"|25|"MEM"|81|1348|14.2|0.53|0|0.237|10.3|25.8|18.1|4.3|1.1|3.9|14.9|15.8|0.8|2.5|3.3|0.118|-3.4|1.9|-1.5|0.2
"Ognjen Kuzmic"|"C"|24|"GSW"|16|72|12.9|0.727|0|0.333|10.8|14.5|12.7|11.1|1.4|1|26.7|11.3|0.2|0.1|0.3|0.171|-0.3|1|0.8|0.1
"Jeremy Lamb"|"SG"|22|"OKC"|47|633|14.9|0.538|0.444|0.22|1.4|16.5|9.1|10.9|1.7|0.7|9|20.5|1|0.7|1.6|0.123|0|-1.6|-1.6|0.1
"Carl Landry"|"PF"|31|"SAC"|70|1192|14.9|0.578|0|0.407|9.8|15.5|12.8|3.6|0.6|1.1|11|18.1|2.3|0.5|2.8|0.112|-1|-2.6|-3.6|-0.5
"Shane Larkin"|"PG"|22|"NYK"|76|1865|10.9|0.504|0.269|0.181|1.7|9.4|5.4|19.4|2.6|0.4|15.1|13.6|0.8|0.9|1.7|0.045|-1.6|-0.7|-2.4|-0.2
"Joffrey Lauvergne"|"C"|23|"DEN"|24|268|10.5|0.459|0.18|0.315|10.5|20.9|15.5|7.5|1.5|2.9|17.8|19.9|-0.2|0.3|0.1|0.012|-4.2|0.7|-3.6|-0.1
"Zach LaVine"|"PG"|19|"MIN"|77|1902|11.3|0.515|0.247|0.261|1.6|11.6|6.4|24|1.4|0.4|20.4|22|-0.7|0|-0.7|-0.018|-1.7|-2.7|-4.5|-1.2
"Ty Lawson"|"PG"|27|"DEN"|75|2665|18.5|0.526|0.221|0.392|1.6|8.1|4.7|43|1.7|0.3|14.6|20.6|6|1|7|0.126|2.7|-2.1|0.5|1.7
"Courtney Lee"|"SG"|29|"MEM"|77|2354|11.5|0.555|0.348|0.201|1|7.6|4.3|9.8|1.7|0.4|10|15.2|2.5|2.4|4.8|0.099|0.3|0.2|0.5|1.5
"David Lee"|"PF"|31|"GSW"|49|904|17.8|0.541|0.006|0.332|10|20.3|15.3|13.7|1.7|2.1|12|19.6|1.6|1.6|3.2|0.168|-0.6|2|1.4|0.8
"Malcolm Lee"|"SG"|24|"PHI"|1|2|-19.7|0|0|0|0|0|0|0|0|0|0|21.8|0|0|0|-0.527|-21.9|-6.7|-28.5|0
"Alex Len"|"C"|21|"PHO"|69|1518|13.5|0.542|0.008|0.295|10.2|22.7|16.4|3.1|1.1|5.3|15.7|13.7|1.2|2.1|3.4|0.107|-3.3|2.3|-1|0.4
"Kawhi Leonard"|"SF"|23|"SAS"|64|2033|22|0.567|0.234|0.307|4.8|20.6|12.9|13|3.7|1.8|9.4|23|4.2|4.4|8.6|0.204|2.6|3.5|6.1|4.1
"Meyers Leonard"|"C"|22|"POR"|55|847|14.8|0.631|0.457|0.131|5.9|25.3|15.8|5.8|0.6|1.2|13.1|15.8|1.6|1.2|2.8|0.158|0.1|0|0.2|0.5
"Jon Leuer"|"PF"|25|"MEM"|63|824|11.9|0.478|0.106|0.216|7|21.7|14.3|8.8|1.1|0.9|10.5|18.6|0.2|1.2|1.3|0.078|-3.1|0|-3.1|-0.2
"Damian Lillard"|"PG"|24|"POR"|82|2925|20.7|0.56|0.421|0.293|1.8|11.8|6.9|29|1.7|0.5|12.6|26.9|7.3|3.3|10.6|0.174|5|0|5.1|5.2
"Jeremy Lin"|"PG"|26|"LAL"|74|1907|15.6|0.539|0.269|0.41|1.4|10.2|5.7|28.6|2.2|1.4|17.7|21.9|1.8|0.8|2.7|0.068|0.5|-1.3|-0.8|0.6
"Shaun Livingston"|"PG"|29|"GSW"|78|1468|12.9|0.529|0.005|0.23|3.3|10|6.7|24.2|1.6|1|19|15.9|1.5|1.8|3.3|0.107|-2.1|0.4|-1.7|0.1
"Brook Lopez"|"C"|26|"BRK"|72|2100|22.7|0.558|0.01|0.278|11.5|17.1|14.3|4.5|1.1|4.8|8.6|26.3|4.7|2.2|7|0.159|0.5|-0.3|0.2|1.1
"Robin Lopez"|"C"|26|"POR"|59|1638|16.2|0.574|0.002|0.291|12.7|13.1|12.9|5.1|0.5|3.7|12.9|15.5|3.2|1.9|5.1|0.15|0.1|2|2.1|1.7
"Kevin Love"|"PF"|26|"CLE"|75|2532|18.8|0.562|0.412|0.337|6.5|26.3|16.6|10.7|1|1.2|10|21.7|5.8|2.9|8.7|0.165|2|-0.1|1.9|2.5
"Kyle Lowry"|"PG"|28|"TOR"|70|2414|19.3|0.527|0.375|0.299|2.6|13.1|7.8|32.4|2.3|0.4|12.8|25.4|5.1|2|7.1|0.141|4.2|-0.6|3.6|3.4
"Kalin Lucas"|"PG"|25|"MEM"|1|6|-0.7|0|0|0|0|0|0|0|8.7|0|0|7.6|0|0|0|-0.057|-7.9|6.6|-1.3|0
"John Lucas III"|"PG"|32|"DET"|21|272|13|0.461|0.279|0.048|1.5|5|3.2|36|1.5|0|13.1|19.9|0.2|0.1|0.3|0.058|-1.1|-4.4|-5.5|-0.2
"Shelvin Mack"|"PG"|24|"ATL"|55|833|13.2|0.489|0.435|0.106|1.1|9.5|5.4|28.6|1.8|0.2|13.8|19.5|0.5|0.8|1.3|0.075|-0.9|-2.2|-3.1|-0.2
"Ian Mahinmi"|"C"|28|"IND"|61|1146|10.8|0.516|0|0.481|10.2|24|17.2|4.4|1.3|3.1|18.7|12.5|0.1|2|2.1|0.09|-3.8|2.6|-1.2|0.2
"Devyn Marble"|"SG"|22|"ORL"|16|208|5.9|0.362|0.5|0.364|2.7|14.4|8.4|11.5|2.2|0.8|15|13.1|-0.3|0.2|-0.1|-0.031|-4.7|0.2|-4.5|-0.1
"Shawn Marion"|"SF"|36|"CLE"|57|1101|11|0.489|0.172|0.127|6.8|14.2|10.5|6.9|1.3|1.9|10.5|12.9|0.8|0.9|1.7|0.074|-2|0.7|-1.3|0.2
"Kendall Marshall"|"PG"|23|"MIL"|28|417|12.4|0.562|0.455|0.089|0.6|7.1|3.8|31.1|2.6|0|25|15.1|0.3|0.5|0.8|0.088|-1.7|-2.4|-4.1|-0.2
"Cartier Martin"|"SF"|30|"DET"|23|198|1.6|0.34|0.623|0|0|11.4|5.5|8|0.8|0.4|8.6|13|-0.3|0.1|-0.2|-0.053|-5.5|-1.6|-7.1|-0.3
"Kenyon Martin"|"PF"|37|"MIL"|11|104|10|0.437|0|0.091|6.7|14.2|10.5|7|2.5|4.9|11.6|11.2|0|0.2|0.2|0.086|-4.4|3.6|-0.8|0
"Kevin Martin"|"SG"|31|"MIN"|39|1302|16.7|0.549|0.306|0.309|1.6|11.1|6.2|12.5|1.3|0.1|9.7|26.6|2|-0.1|1.9|0.069|1.8|-3.9|-2.1|0
"Wesley Matthews"|"SG"|28|"POR"|60|2024|16.1|0.586|0.592|0.193|2.1|9.5|5.9|10.8|1.9|0.4|9|19.8|4|2.2|6.2|0.147|3.8|0.1|3.9|3
"Jason Maxiell"|"PF"|31|"CHO"|61|878|10.4|0.455|0|0.37|10.5|15.1|12.7|3.4|1.1|4|11.5|13.1|0.1|1.2|1.4|0.074|-4.5|1.9|-2.6|-0.1
"O.J. Mayo"|"SG"|27|"MIL"|71|1697|13.5|0.529|0.395|0.198|2|10.5|6.3|19.4|1.7|0.9|14.4|23.6|0.9|1.9|2.8|0.079|0|-1.3|-1.3|0.3
"Luc Mbah a Moute"|"PF"|28|"PHI"|67|1916|10.6|0.466|0.318|0.256|4.4|14.6|9.3|9.8|2.1|0.9|12.3|18.3|-0.9|2|1.1|0.027|-3.2|0.1|-3.2|-0.6
"James Michael McAdoo"|"PF"|22|"GSW"|15|137|17.7|0.564|0|0.568|12.2|16.8|14.6|2.1|1.8|4.9|9.8|19.4|0.2|0.3|0.5|0.177|-2.3|0.5|-1.8|0
"Ray McCallum"|"PG"|23|"SAC"|68|1436|12.5|0.496|0.236|0.179|4.3|9.8|7.1|21.3|1.6|0.6|14.4|18.2|0.8|0.5|1.4|0.045|-0.4|-1.3|-1.7|0.1
"C.J. McCollum"|"SG"|23|"POR"|62|973|13.1|0.534|0.381|0.2|1.6|8.3|5|10.3|2.3|0.6|10.8|20.5|0.7|1.1|1.8|0.089|-0.4|-0.3|-0.7|0.3
"Doug McDermott"|"SF"|23|"CHI"|36|321|6.1|0.48|0.383|0.14|2.1|12.2|7.3|3|0.6|0.2|13|18.3|-0.3|0.2|0|-0.005|-4.8|-3.3|-8|-0.5
"Mitch McGary"|"PF"|22|"OKC"|32|485|16.6|0.55|0.012|0.242|11.9|24.4|18.2|4.6|1.7|2.6|14.5|19|0.6|0.7|1.3|0.127|-2.3|-0.1|-2.4|-0.1
"Ben McLemore"|"SG"|21|"SAC"|82|2670|10.4|0.552|0.471|0.193|1.4|8.6|5.1|8.4|1.5|0.6|13.3|17.2|1.7|0.8|2.5|0.045|0.4|-1.3|-0.8|0.8
"Jerel McNeal"|"PG"|27|"PHO"|6|36|1.2|0.379|0.182|0.182|0|9.2|4.6|7.8|4.2|2.1|29.6|20.6|-0.2|0.1|-0.1|-0.149|-10.2|1.7|-8.5|-0.1
"Josh McRoberts"|"PF"|27|"MIA"|17|296|10.2|0.613|0.358|0.245|2.9|15.1|9.1|17.5|2.1|0.9|27.3|12.8|0.1|0.3|0.4|0.07|-1.7|0.6|-1.1|0.1
"Jodie Meeks"|"SG"|27|"DET"|60|1462|14.1|0.548|0.397|0.3|0.9|7.1|3.9|8.8|2.1|0.3|8.6|20.1|2.2|0.9|3.1|0.103|0.7|-1.6|-0.9|0.4
"Gal Mekel"|"PG"|26|"NOP"|4|43|0.5|0.15|0.15|0|0|2.6|1.3|42.2|2.4|0|9.1|23.3|-0.2|0|-0.2|-0.238|-10.3|-6.3|-16.6|-0.2
"Khris Middleton"|"SF"|23|"MIL"|79|2378|15.6|0.563|0.308|0.18|2.3|14.3|8.4|12.7|2.6|0.4|10.8|19.9|3.2|3.5|6.7|0.135|0.9|0.5|1.4|2
"C.J. Miles"|"SG"|27|"IND"|70|1841|14.1|0.525|0.539|0.195|1.1|11.7|6.4|7.1|1.7|1.1|7.5|23.9|1.3|2.3|3.6|0.093|1|-1.3|-0.3|0.8
"Darius Miller"|"SF"|24|"NOP"|5|43|-5.1|0.143|0.143|0|0|2.6|1.3|6.1|1.2|0|12.5|8.5|-0.1|0|-0.1|-0.122|-8.4|-1.5|-9.9|-0.1
"Mike Miller"|"SF"|34|"CLE"|52|701|4.6|0.471|0.86|0.035|0.7|14|7.4|9|1|0.5|16.6|8.9|-0.1|0.5|0.4|0.028|-2.6|-0.3|-3|-0.2
"Patrick Mills"|"PG"|26|"SAS"|51|801|13|0.496|0.542|0.119|3|7.5|5.3|16.9|1.8|0.2|9|22.1|0.6|0.9|1.4|0.087|1|-1.8|-0.7|0.3
"Elijah Millsap"|"SG"|27|"UTA"|47|924|7.9|0.45|0.378|0.361|3.5|15.2|9.4|9.7|3.2|1.4|19.5|17|-1|1.4|0.4|0.02|-3.5|1.9|-1.6|0.1
"Paul Millsap"|"PF"|29|"ATL"|73|2390|20|0.565|0.232|0.362|6.9|20|13.6|15.4|2.8|2.4|13.3|23.8|4|4.3|8.3|0.166|1.6|2.6|4.2|3.7
"Nikola Mirotic"|"PF"|23|"CHI"|82|1654|17.9|0.556|0.502|0.455|4.3|21.8|13.3|9.7|1.7|2.4|10.6|22.8|3|2.7|5.7|0.165|1.2|0|1.2|1.3
"Nazr Mohammed"|"C"|37|"CHI"|23|128|8.7|0.431|0|0.1|9.6|22.3|16.1|3.6|1.6|2.8|18.3|13.4|-0.1|0.2|0.1|0.04|-6.1|0.9|-5.3|-0.1
"Greg Monroe"|"PF"|24|"DET"|69|2137|21.2|0.549|0|0.394|11.2|25.1|17.9|11.7|1.9|1.3|13|23.9|4|2.8|6.8|0.153|0.6|1.3|1.9|2.1
"ETwaun Moore"|"SG"|25|"CHI"|56|504|10.3|0.504|0.273|0.144|2.7|7.1|5|10.4|2.1|0.9|8.7|14.4|0.3|0.5|0.8|0.08|-1.8|-0.6|-2.5|-0.1
"Eric Moreland"|"PF"|23|"SAC"|3|2|40.8|1|0|0|0|54.8|28.4|0|0|0|0|22|0|0|0|0.431|5.8|-10.2|-4.5|0
"Darius Morris"|"PG"|24|"BRK"|38|299|6.7|0.377|0.311|0.085|2.6|7.5|5.1|24.7|1.6|0|16|20|-0.5|0.1|-0.4|-0.068|-4.4|-2.8|-7.2|-0.4
"Marcus Morris"|"PF"|25|"PHO"|81|2045|13.7|0.52|0.41|0.148|3.9|16.9|10.3|10.2|1.5|0.6|8.2|19|2.2|1.8|4|0.093|0.2|-0.6|-0.4|0.8
"Markieff Morris"|"PF"|25|"PHO"|82|2581|15.8|0.523|0.163|0.211|4.6|17|10.7|12.4|2|1.2|12.4|23.3|1.8|2.7|4.6|0.085|-0.7|0.5|-0.2|1.2
"Anthony Morrow"|"SG"|29|"OKC"|74|1806|14.8|0.604|0.528|0.145|2.4|9.1|5.8|5.2|1.5|0.5|5.5|16.5|4.4|1.2|5.7|0.151|2.4|-1.8|0.6|1.2
"Donatas Motiejunas"|"PF"|24|"HOU"|71|2037|14.4|0.553|0.19|0.237|7.4|15.4|11.4|10.8|1.4|1.3|13.7|19.1|2.4|2.3|4.7|0.11|-0.6|0.5|-0.1|1
"Shabazz Muhammad"|"SG"|22|"MIN"|38|866|19.9|0.556|0.128|0.365|8.1|12.4|10.2|9.6|1.1|0.6|7.1|25.3|2.1|-0.1|2|0.11|2|-3.8|-1.8|0
"Mike Muscala"|"PF"|23|"ATL"|40|502|18|0.608|0.146|0.166|12.2|14.8|13.5|8|1.6|3.2|11.5|16.7|1.2|0.7|1.9|0.179|0.8|0.9|1.7|0.5
"Shabazz Napier"|"PG"|23|"MIA"|51|1012|9.3|0.517|0.518|0.246|2.1|11.2|6.7|19.9|2.1|0.3|24.3|15.5|-0.3|0.8|0.5|0.024|-2|-0.6|-2.6|-0.2
"Andrew Nicholson"|"PF"|25|"ORL"|40|492|10.3|0.483|0.216|0.132|3.8|15.2|9.4|7.3|0.6|2|10.7|20.8|-0.2|0.3|0.1|0.007|-4|-2.1|-6.2|-0.5
"Joakim Noah"|"C"|29|"CHI"|67|2049|15.3|0.482|0.005|0.407|11.9|22.1|17.1|23|1.2|2.6|19.6|13.7|2.4|3.1|5.6|0.13|-0.2|3.6|3.4|2.8
"Nerlens Noel"|"C"|20|"PHI"|75|2311|15|0.493|0|0.352|8.3|21|14.3|9.8|2.9|5|16.2|17|-0.2|4.2|4|0.083|-3.7|4.5|0.8|1.6
"Lucas Nogueira"|"C"|22|"TOR"|6|23|5.2|0.307|0|0.5|10|45.1|27.6|6.2|4.5|0|17|23.1|-0.1|0.1|0|-0.071|-11|0.7|-10.3|0
"Dirk Nowitzki"|"PF"|36|"DAL"|77|2282|19.2|0.56|0.258|0.272|2.1|19.9|11|10.4|0.9|1.2|6.5|24.9|5.2|2|7.2|0.152|1.7|-1|0.7|1.5
"Jusuf Nurkic"|"C"|20|"DEN"|62|1103|14.8|0.483|0.005|0.345|11.8|26.1|18.7|7.3|2.4|4.8|16.3|20.7|-0.2|1.8|1.6|0.069|-3.7|3.1|-0.6|0.4
"Johnny OBryant"|"PF"|21|"MIL"|34|368|3.8|0.379|0|0.225|8.2|11.7|10|7.1|0.7|0.9|15.9|19.2|-0.8|0.3|-0.5|-0.063|-7.5|-1.6|-9|-0.7
"Kyle OQuinn"|"PF"|24|"ORL"|51|824|14.8|0.55|0.178|0.236|6.2|21.4|13.6|11.3|1.9|3.8|17.1|17.7|0.5|1.1|1.6|0.091|-2.1|2|-0.2|0.4
"Victor Oladipo"|"SG"|22|"ORL"|72|2573|15.9|0.527|0.228|0.295|2.2|11.2|6.6|19.3|2.4|0.6|14.3|25.2|1.5|2|3.5|0.065|0.5|-0.5|0|1.3
"Kelly Olynyk"|"C"|23|"BOS"|64|1423|15.9|0.558|0.331|0.258|7|16.5|11.7|12.2|2.3|2.1|14.3|21.1|1.5|2.1|3.6|0.12|0.7|1.4|2.1|1.5
"Arinze Onuaku"|"C"|27|"MIN"|6|68|22.8|0.771|0|0.571|11.4|24.3|17.7|10.2|0.7|3.5|10.2|12.7|0.2|0|0.3|0.197|2.5|-0.2|2.3|0.1
"Zaza Pachulia"|"C"|30|"MIL"|73|1730|15.6|0.506|0.006|0.302|13.1|19.9|16.5|16.2|2.4|1|18.2|19.1|1.3|2.9|4.2|0.116|-0.9|2.2|1.4|1.5
"Kostas Papanikolaou"|"SF"|24|"HOU"|43|795|7.8|0.444|0.538|0.091|5.4|10.9|8.2|15.8|1.8|1.3|21.2|14.2|-0.4|0.9|0.5|0.029|-3|0.7|-2.3|-0.1
"Jannero Pargo"|"PG"|35|"CHO"|9|73|14.9|0.571|0.629|0.057|0|4.6|2.3|20.8|0|0|7.7|24.3|0.1|0|0.2|0.113|3|-6.1|-3.2|0
"Jabari Parker"|"SF"|19|"MIL"|25|738|14.5|0.527|0.061|0.251|7.8|13.5|10.7|9.5|2.1|0.6|13.9|20.7|0.4|1|1.3|0.088|-1.4|0.2|-1.2|0.1
"Tony Parker"|"PG"|32|"SAS"|68|1953|15.9|0.539|0.107|0.2|0.9|6.5|3.7|28.7|1.2|0.1|13.9|24.5|2.4|1.7|4.1|0.1|0.2|-2.2|-2|0
"Chandler Parsons"|"SF"|26|"DAL"|66|2186|16.3|0.567|0.419|0.233|3.2|13|8.1|11.4|1.6|0.7|9.5|20.6|3.8|1.7|5.5|0.121|2.7|-0.2|2.5|2.5
"Patrick Patterson"|"PF"|25|"TOR"|81|2156|14.6|0.568|0.529|0.15|6.8|16.3|11.6|10.7|1.4|1.6|8.7|13.1|4.4|1.7|6.1|0.137|2.5|0.7|3.2|2.8
"Chris Paul"|"PG"|29|"LAC"|82|2857|26|0.596|0.298|0.274|2.1|12.5|7.4|47.4|2.8|0.4|12.7|23.7|12.9|3.2|16.1|0.27|7.5|0|7.5|6.9
