"Player"|"Pos"|"Age"|"Tm"|"G"|"MP"|"PER"|"TS_perc"|"X3PAr"|"FTr"|"ORB_perc"|"DRB_perc"|"TRB_perc"|"AST_perc"|"STL_perc"|"BLK_perc"|"TOV_perc"|"USG_perc"|"OWS"|"DWS"|"WS"|"WS_48"|"OBPM"|"DBPM"|"BPM"|"VORP"
"Jamal Crawford"|"SG"|34|"LAC"|64|1703|16.6|0.532|0.434|0.3|1.2|6.9|4.1|14.9|1.8|0.7|8.8|27.6|2.5|1.2|3.6|0.102|1.7|-2.7|-1|0.4
"Dante Cunningham"|"PF"|27|"NOP"|66|1652|8.9|0.473|0.029|0.139|4.8|12.8|8.8|4.4|1.5|1.7|8.9|10.9|0.5|1.2|1.6|0.047|-2.6|1|-1.6|0.2
"Jared Cunningham"|"SG"|23|"LAC"|19|89|7.3|0.452|0.394|0.394|1.3|9.9|5.7|16.4|1.7|0|15.3|23.2|-0.1|0.1|0|-0.023|-4|-2.7|-6.7|-0.1
"Seth Curry"|"PG"|24|"PHO"|2|8|-11.4|0|0.333|0|0|27.7|13.7|15.6|0|0|0|16.5|-0.1|0|0|-0.298|-14.3|-1.6|-15.9|0
"Stephen Curry"|"PG"|26|"GSW"|80|2613|28|0.638|0.482|0.251|2.4|11.4|7|38.6|3|0.5|14.3|28.9|11.5|4.1|15.7|0.288|9.6|0.3|9.9|7.9
"Samuel Dalembert"|"C"|33|"NYK"|32|544|11.8|0.461|0|0.154|10.9|25.1|17.8|8.6|1.4|6.3|21.9|15|-0.4|0.7|0.3|0.023|-5.2|3|-2.2|0
"Anthony Davis"|"PF"|21|"NOP"|68|2455|30.8|0.591|0.01|0.384|8|24.1|16.1|11.6|2.1|6.2|6.3|27.8|9.9|4.2|14|0.274|4.2|3|7.1|5.7
"Ed Davis"|"PF"|25|"LAL"|79|1840|20|0.594|0|0.403|13.3|23.1|18|8.3|1.4|4.3|9.5|14.8|4.6|1.6|6.3|0.164|1.1|1.9|3|2.3
"Glen Davis"|"PF"|29|"LAC"|74|904|10.8|0.495|0.016|0.373|5.5|15.4|10.5|6.3|2.3|1.9|11.6|16.7|0.2|1.1|1.4|0.072|-3.5|1|-2.5|-0.1
"Andre Dawkins"|"SG"|23|"MIA"|4|22|-5|0.25|1|0|0|10.7|5.5|6.6|0|0|14.3|15|-0.1|0|-0.1|-0.172|-7.5|-3.9|-11.5|-0.1
"Dewayne Dedmon"|"C"|25|"ORL"|59|845|13.3|0.568|0.006|0.395|15.5|24.1|19.7|1.6|1|4.8|21.1|13|0.7|1|1.7|0.099|-3.6|0.3|-3.3|-0.3
"Matthew Dellavedova"|"SG"|24|"CLE"|67|1380|8.5|0.493|0.544|0.124|3.1|7.3|5.2|21.1|0.9|0.1|15.9|12.6|1.4|0.5|1.9|0.067|-0.6|-2|-2.6|-0.2
"Luol Deng"|"SF"|29|"MIA"|72|2421|15.5|0.561|0.28|0.319|5.2|13.3|9.3|9.9|1.4|0.8|10.7|19.5|3.7|1.6|5.4|0.106|1.1|-0.6|0.5|1.5
"DeMar DeRozan"|"SG"|25|"TOR"|60|2100|17.4|0.51|0.089|0.438|2.3|12.9|7.6|17|1.8|0.4|10.4|28.4|2.6|1.4|4|0.09|-0.2|-1.4|-1.6|0.2
"Boris Diaw"|"PF"|32|"SAS"|81|1984|12.7|0.526|0.267|0.147|4.5|15.2|10|17.9|0.9|0.9|15.8|18.3|1.3|2.3|3.6|0.088|-0.6|0.7|0.1|1.1
"Gorgui Dieng"|"C"|25|"MIN"|73|2193|17.2|0.573|0.012|0.477|11.3|20.8|15.9|10.5|1.6|4.5|16.9|15|3.4|1.5|4.9|0.108|0.1|2.4|2.5|2.5
"Spencer Dinwiddie"|"PG"|21|"DET"|34|455|10.2|0.394|0.385|0.201|0.9|10.9|5.7|34.9|2.2|1|15.2|21.1|-0.3|0.4|0.1|0.009|-2.6|-1.5|-4.2|-0.2
"Joey Dorsey"|"PF"|31|"HOU"|69|854|11.1|0.507|0.007|0.572|13.3|22.7|18|4.4|2.3|2.3|18.4|11.3|0.4|1.5|1.9|0.108|-3.5|2.1|-1.4|0.1
